student_id,study_hours,exam_score,passed
1,6.4,80,Yes
2,2.2,50,Yes
3,7.4,74,Yes
4,0.9,27,No
5,4.2,66,Yes
6,5.1,68,Yes
7,0.3,40,No
8,5.4,78,Yes
9,2.2,38,No
10,0.1,29,No
11,8.1,83,Yes
12,1.6,39,No
13,9.6,93,Yes
14,1.0,44,No
15,8.5,78,Yes
16,7.3,73,Yes
17,5.4,75,Yes
18,5.5,68,Yes
19,8.3,76,Yes
20,5.8,62,Yes
21,7.0,83,Yes
22,2.9,54,Yes
23,0.8,40,No
24,2.8,56,Yes
25,6.4,70,Yes
26,2.1,53,Yes
27,2.7,61,Yes
28,6.1,69,Yes
29,1.7,45,No
30,3.8,54,Yes
31,9.9,91,Yes
32,6.8,70,Yes
33,8.4,88,Yes
34,0.3,32,No
35,3.2,54,Yes
36,9.4,98,Yes
37,8.8,86,Yes
38,4.0,69,Yes
39,9.1,86,Yes
40,2.5,52,Yes
